wavelength_nm ,power_reading_0_dbm 
1510.0, -8.58415604
1512.6530612244899, -8.57019234
1515.3061224489795, -8.59504318
1517.9591836734694, -8.57848263
1520.6122448979593, -8.57721519
1523.265306122449, -8.56771088
1525.9183673469388, -8.57361317
1528.5714285714287, -8.50701618
1531.2244897959183, -8.49510479
1533.8775510204082, -8.46052265
1536.530612244898, -8.41445732
1539.1836734693877, -8.35685158
1541.8367346938776, -8.29377365
1544.4897959183672, -8.25808907
1547.142857142857, -8.17419052
1549.795918367347, -8.11754799
1552.4489795918366, -8.05690765
1555.1020408163265, -8.04214668
1557.7551020408164, -8.02223873
1560.408163265306, -7.9830246
1563.061224489796, -7.95739794
1565.7142857142858, -7.9176774
1568.3673469387754, -7.91832209
1571.0204081632653, -7.91544008
1573.6734693877552, -7.95019245
1576.3265306122448, -7.97928429
1578.9795918367347, -7.98691177
1581.6326530612246, -8.00948429
1584.2857142857142, -8.05308533
1586.938775510204, -8.02084923
1589.591836734694, -8.05375481
1592.2448979591836, -8.04715729
1594.8979591836735, -8.03328514
1597.5510204081634, -8.02738953
1600.204081632653, -8.02120018
1602.857142857143, -7.97341728
1605.5102040816328, -7.98339462
1608.1632653061224, -7.9837079
1610.8163265306123, -7.95468903
1613.469387755102, -7.94251966
1616.1224489795918, -7.95305681
1618.7755102040817, -7.93463469
1621.4285714285713, -7.9230957
1624.0816326530612, -7.92320299
1626.734693877551, -7.91960812
1629.3877551020407, -7.91810846
1632.0408163265306, -7.92778826
1634.6938775510205, -7.97384167
1637.3469387755101, -8.0289259
1640.0, -8.07587624
